Acquisition Time	Negative Width	Fall Time	Rise Time	Peak-to-Peak	Acquisition Time	Negative Width	Fall Time	Rise Time	Peak-to-Peak
2460956.880775462836	1.52E-8	6.2E-9	1.84E-8	1.6599999666E0	2460956.880775462836	1.53E-8	6.8E-9	1.71E-8	1.439999938E0
2460956.880821759347	1.69E-8	7.3E-9	3.2E-8	2.0799999237E0	2460956.880821759347	1.87E-8	1.26E-8	2.23E-8	2.1799998283E0
2460956.880925925914	1.73E-8	5.3E-9	1.84E-8	1.6599999666E0	2460956.880925925914	1.87E-8	4.1E-9	1.81E-8	1.0799999237E0
2460956.880972222425	1.98E-8	4.9E-9	1.88E-8	2.6599998474E0	2460956.880972222425	1.87E-8	8.5E-9	2.77E-8	3.1399998665E0
2460956.881018518470	1.84E-8	9.9E-9	1.95E-8	1.8199999332E0	2460956.881018518470	2.07E-8	7.9E-9	2.09E-8	1.1599999666E0
2460956.881076388992	1.46E-8	6.9E-9	2.06E-8	1.9999998808E0	2460956.881076388992	1.8E-8	1.07E-8	1.71E-8	2.5599999428E0
2460956.881122685038	1.78E-8	1.23E-8	2.2E-8	2.1599998474E0	2460956.881122685038	1.79E-8	8.9E-9	2.01E-8	3.5599999428E0
2460956.881168981548	1.52E-8	9.3E-9	1.77E-8	1.7999999523E0	2460956.881168981548	1.72E-8	7.8E-9	1.92E-8	3.4999997616E0
2460956.881226852071	1.79E-8	1.3E-8	2.1E-8	1.8199999332E0	2460956.881226852071	1.45E-8	1.07E-8	2.21E-8	1.5799999237E0
2460956.881423611194	1.73E-8	8.9E-9	2.2E-8	2.1799998283E0	2460956.881423611194	2.12E-8	6.9E-9	2.57E-8	1.939999938E0
2460956.881469907239	1.46E-8	1.16E-8	2.1E-8	2.1199998856E0	2460956.881469907239	1.96E-8	3.7E-9	1.46E-8	1.2599998713E0
2460956.881620370317	1.87E-8	5.2E-9	2.12E-8	1.8399999142E0	2460956.881620370317	1.75E-8	6.9E-9	2.11E-8	1.2199999094E0
2460956.881666666828	1.8E-8	8.6E-9	1.97E-8	1.8199999332E0	2460956.881666666828	1.61E-8	9.6E-9	2.18E-8	1.4999998808E0
2460956.881712962873	1.94E-8	1.31E-8	1.85E-8	2.5E0	2460956.881712962873	1.42E-8	9.0E-9	2.01E-8	1.2400000095E0
2460956.881770833395	1.58E-8	1.08E-8	1.96E-8	1.939999938E0	2460956.881770833395	1.68E-8	8.5E-9	1.91E-8	1.5999999046E0
2460956.881817129441	1.8E-8	5.3E-9	2.46E-8	1.3199999332E0	2460956.881817129441	1.97E-8	7.6E-9	2.58E-8	1.2799999714E0
2460956.881863425951	1.98E-8	6.3E-9	1.72E-8	3.3399999142E0	2460956.881863425951	1.57E-8	5.6E-9	1.21E-8	1.2599999905E0
2460956.881967592519	1.87E-8	1.25E-8	1.96E-8	2.3599998951E0	2460956.881967592519	1.65E-8	7.6E-9	2.01E-8	2.6599998474E0
