Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]	Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]
2460957.639525462873	2.18E-8	4.7E-9	2.41E-8	1.6599999666E0	2460957.639525462873	1.63E-8	8.9E-9	2.07E-8	1.9199999571E0
2460957.639571759384	2.11E-8	7.1E-9	2.13E-8	3.2599999905E0	2460957.639571759384	1.62E-8	7.9E-9	2.37E-8	2.2599999905E0
2460957.639675925951	1.4E-8	1.04E-8	2.39E-8	2.7199997902E0	2460957.639675925951	1.86E-8	5.1E-9	2.41E-8	2.2199997902E0
2460957.639780092519	1.76E-8	7.4E-9	1.61E-8	1.5999999046E0	2460957.639780092519	1.76E-8	6.9E-9	1.71E-8	1.7799998522E0
2460957.639826389030	1.9E-8	8.0E-9	1.46E-8	2.2400000095E0	2460957.639826389030	1.63E-8	5.3E-9	1.33E-8	1.5199999809E0
2460957.639918981586	1.84E-8	8.2E-9	2.01E-8	3.4800000191E0	2460957.639918981586	1.86E-8	8.6E-9	2.02E-8	3.4199998379E0
2460957.640312499832	1.95E-8	8.3E-9	3.27E-8	1.5599999428E0	2460957.640312499832	2.26E-8	8.9E-9	2.15E-8	1.0799999237E0
2460957.640509259421	1.77E-8	1.1E-8	2.03E-8	1.939999938E0	2460957.640509259421	1.96E-8	9.4E-9	2.57E-8	2.0599999428E0
2460957.640613425989	1.63E-8	7.7E-9	2.22E-8	2.2999999523E0	2460957.640613425989	1.99E-8	5.6E-9	1.98E-8	1.7599999905E0
2460957.640706018545	2.04E-8	6.8E-9	1.73E-8	2.6199998856E0	2460957.640706018545	1.77E-8	8.3E-9	2.52E-8	2.9799997807E0
2460957.640763889067	1.53E-8	8.5E-9	2.63E-8	2.5E0	2460957.640763889067	1.72E-8	6.5E-9	2.07E-8	2.2799999714E0
2460957.640810185112	1.94E-8	1.07E-8	2.19E-8	2.4599997997E0	2460957.640810185112	1.57E-8	1.11E-8	1.87E-8	2.3599998951E0
2460957.640856481623	1.7E-8	1.09E-8	1.79E-8	2.1199998856E0	2460957.640856481623	1.59E-8	1.12E-8	2.3E-8	1.6399999857E0
2460957.640914351679	1.21E-8	9.5E-9	2.54E-8	2.0399999619E0	2460957.640914351679	9.7E-9	1.13E-8	1.75E-8	1.4400000572E0
