Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]	Acquisition Time [days]	Negative Width ["s"]	Fall Time ["s"]	Rise Time ["s"]	Peak-to-Peak ["V"]
2460957.781562500168	3.48E-8	1.04E-8	1.14E-8	4.4400000572E0	2460957.781562500168	1.99E-8	5.8E-9	2.25E-8	3.4199998379E0
2460957.781608796213	1.82E-8	1.08E-8	1.8E-8	2.5999999046E0	2460957.781608796213	1.58E-8	7.8E-9	2.17E-8	2.9199998379E0
2460957.781666666735	1.63E-8	7.1E-9	2.85E-8	1.4800000191E0	2460957.781666666735	1.31E-8	5.8E-9	2.8E-8	1.439999938E0
2460957.781712962780	1.48E-8	5.5E-9	1.6E-8	1.5E0	2460957.781712962780	1.49E-8	9.6E-9	1.55E-8	1.3199999332E0
2460957.781817129813	1.79E-8	7.1E-9	1.84E-8	2.2400000095E0	2460957.781817129813	2.0E-8	5.7E-9	1.75E-8	3.0599999428E0
2460957.781863425858	1.93E-8	8.1E-9	2.02E-8	1.8399999142E0	2460957.781863425858	1.62E-8	8.0E-9	2.02E-8	1.7599998713E0
2460957.781909722369	1.68E-8	1.14E-8	2.04E-8	1.6399999857E0	2460957.781909722369	1.45E-8	6.0E-9	2.22E-8	1.7999999523E0
2460957.781967592426	1.69E-8	1.0E-8	2.08E-8	2.1799998283E0	2460957.781967592426	2.13E-8	9.1E-9	1.91E-8	2.0799999237E0
2460957.782013888936	2.15E-8	7.2E-9	2.18E-8	1.1999999285E0	2460957.782013888936	1.72E-8	9.6E-9	2.55E-8	1.3399999142E0
2460957.782060184982	1.4E-8	8.3E-9	2.12E-8	2.0599999428E0	2460957.782060184982	1.62E-8	7.6E-9	2.0E-8	1.7399998903E0
2460957.782118055504	2.25E-8	8.7E-9	1.6E-8	1.9999998808E0	2460957.782118055504	1.68E-8	8.6E-9	1.74E-8	2.6199998856E0
2460957.782164352015	1.86E-8	5.3E-9	1.92E-8	1.8599998951E0	2460957.782164352015	1.69E-8	4.1E-9	1.73E-8	2.2999999523E0
2460957.782210648060	1.78E-8	7.9E-9	2.22E-8	1.8199999332E0	2460957.782210648060	1.51E-8	5.4E-9	2.55E-8	1.439999938E0
2460957.782268518582	1.51E-8	8.4E-9	2.47E-8	1.2400000095E0	2460957.782268518582	7.2E-9	7.8E-9	1.29E-8	1.439999938E0
2460957.782314814627	1.81E-8	6.5E-9	2.04E-8	1.8599998951E0	2460957.782314814627	1.67E-8	8.8E-9	1.78E-8	3.3399999142E0
2460957.782372685149	1.45E-8	1.14E-8	2.18E-8	1.2199999094E0	2460957.782372685149	1.68E-8	8.8E-9	2.3E-8	1.379999876E0
2460957.782418981660	1.88E-8	7.2E-9	1.81E-8	2.9199998379E0	2460957.782418981660	1.39E-8	9.0E-9	2.26E-8	1.6399998665E0
2460957.782465277705	1.92E-8	7.8E-9	3.06E-8	1.8599998951E0	2460957.782465277705	1.78E-8	8.5E-9	1.78E-8	1.6399999857E0
2460957.782523148227	1.81E-8	8.0E-9	1.82E-8	1.7999999523E0	2460957.782523148227	3.8E-9	9.0E-9	2.15E-8	1.2999999523E0
2460957.782569444273	1.91E-8	7.4E-9	1.84E-8	1.6000000238E0	2460957.782569444273	1.74E-8	4.9E-9	2.77E-8	1.9599999189E0
2460957.782615740784	1.47E-8	9.0E-9	2.22E-8	1.6599999666E0	2460957.782615740784	1.53E-8	1.03E-8	1.87E-8	1.939999938E0
2460957.782673611306	2.09E-8	9.2E-9	1.83E-8	1.8799999952E0	2460957.782673611306	1.31E-8	8.4E-9	1.78E-8	1.8799999952E0
2460957.782766203862	2.16E-8	6.8E-9	1.76E-8	2.0599999428E0	2460957.782766203862	1.58E-8	8.5E-9	1.58E-8	1.7199999094E0
2460957.782824073918	1.75E-8	6.8E-9	1.65E-8	1.8199999332E0	2460957.782824073918	1.48E-8	6.0E-9	1.71E-8	1.9999998808E0
2460957.782870370429	2.11E-8	1.12E-8	1.79E-8	4.2199997902E0	2460957.782870370429	2.54E-8	4.2E-9	1.67E-8	1.7199999094E0
2460957.782928240951	1.61E-8	5.9E-9	2.0E-8	1.2599999905E0	2460957.782928240951	2.04E-8	6.9E-9	1.61E-8	1.1599999666E0
2460957.782974536996	1.71E-8	4.9E-9	2.02E-8	1.8199999332E0	2460957.782974536996	1.4E-8	1.32E-8	2.22E-8	1.379999876E0
2460957.783020833507	1.22E-8	1.02E-8	2.08E-8	2.5199999809E0	2460957.783020833507	2.24E-8	5.0E-9	2.27E-8	1.7399998903E0
2460957.783078703564	1.56E-8	8.2E-9	2.48E-8	1.8199999332E0	2460957.783078703564	1.84E-8	1.02E-8	1.45E-8	1.5799999237E0
