Acquisition Time	Negative Width	Fall Time	Rise Time	Peak-to-Peak
2460951.507303240709	1.65E-8	9.7E-9	2.22E-8	5.200000405E-1
2460951.507337962743	1.76E-8	8.6E-9	2.54E-8	7.120000124E-1
2460951.507384259254	1.79E-8	6.4E-9	1.92E-8	6.080000401E-1
2460951.507418981288	1.82E-8	5.6E-9	2.26E-8	7.36000061E-1
2460951.507453703787	1.89E-8	5.4E-9	2.23E-8	6.800000668E-1
2460951.507488425821	1.66E-8	7.2E-9	2.17E-8	5.760000348E-1
2460951.507534722332	1.46E-8	7.7E-9	2.4E-8	4.23999995E-1
2460951.507569444366	1.4E-8	7.3E-9	2.36E-8	4.079999924E-1
2460951.507604166865	1.8E-8	9.1E-9	1.85E-8	4.160000086E-1
2460951.507627314888	1.68E-8	9.2E-9	2.22E-8	4.23999995E-1
2460951.507662036922	1.47E-8	8.0E-9	2.04E-8	4.399999976E-1
2460951.507696759421	1.97E-8	9.0E-9	2.28E-8	7.200000286E-1
2460951.507743055467	1.95E-8	5.9E-9	2.3E-8	5.440000296E-1
2460951.507777777966	1.98E-8	7.9E-9	2.23E-8	6.800000668E-1
2460951.507812500000	1.52E-8	7.0E-9	2.22E-8	4.720000029E-1
2460951.507847222034	1.76E-8	7.8E-9	2.52E-8	4.00000006E-1
2460951.507881944533	1.71E-8	1.12E-8	2.04E-8	4.240000248E-1
2460951.507916666567	1.76E-8	6.7E-9	2.2E-8	4.880000055E-1
2460951.507951389067	1.91E-8	5.6E-9	2.42E-8	4.720000327E-1
2460951.507986111101	1.61E-8	8.2E-9	2.02E-8	9.360000491E-1
2460951.508032407612	1.74E-8	8.2E-9	2.5E-8	4.480000138E-1
2460951.508067129645	1.81E-8	6.3E-9	1.92E-8	5.360000134E-1
2460951.508101851679	2.01E-8	5.9E-9	1.87E-8	6.240000129E-1
2460951.508136574179	1.71E-8	8.2E-9	2.2E-8	5.600000024E-1
2460951.508182870224	1.47E-8	9.6E-9	2.08E-8	4.560000002E-1
2460951.508217592724	1.69E-8	8.8E-9	2.1E-8	4.800000191E-1
2460951.508252314758	1.32E-8	1.03E-8	2.67E-8	4.640000165E-1
2460951.508287037257	1.6E-8	7.6E-9	2.4E-8	5.360000134E-1
2460951.508321759291	1.8E-8	8.5E-9	2.36E-8	1.2720000744E0
2460951.508356481325	1.69E-8	5.8E-9	2.32E-8	4.399999976E-1
2460951.508402777836	1.45E-8	8.2E-9	1.91E-8	4.480000138E-1
2460951.508425925858	1.26E-8	5.8E-9	1.7E-8	5.60000062E-1
2460951.508460648358	1.84E-8	7.6E-9	2.06E-8	4.560000002E-1
2460951.508506944403	1.56E-8	8.9E-9	1.8E-8	4.800000191E-1
2460951.508530092426	1.55E-8	7.0E-9	2.22E-8	4.800000191E-1
2460951.508564814925	1.92E-8	9.0E-9	1.9E-8	4.320000112E-1
2460951.508599536959	1.96E-8	6.3E-9	1.92E-8	5.120000243E-1
2460951.508634259459	1.84E-8	6.0E-9	2.32E-8	4.240000248E-1
2460951.508726852015	1.71E-8	7.6E-9	2.38E-8	1.1440000534E0
2460951.508761574049	1.75E-8	7.8E-9	2.18E-8	4.5600003E-1
2460951.508796296082	1.77E-8	8.3E-9	2.08E-8	4.640000165E-1
2460951.508831018582	1.59E-8	5.7E-9	2.38E-8	5.680000186E-1
2460951.508865740616	1.9E-8	7.4E-9	2.22E-8	5.84000051E-1
2460951.508900463115	1.74E-8	8.8E-9	2.32E-8	6.480000615E-1
2460951.508935185149	1.47E-8	6.0E-9	2.08E-8	4.00000006E-1
2460951.508993055671	1.53E-8	1.02E-8	2.33E-8	6.719999909E-1
2460951.509039351717	1.81E-8	9.4E-9	2.34E-8	7.12000072E-1
2460951.509074074216	1.73E-8	5.3E-9	2.32E-8	5.920000076E-1
2460951.509108796250	1.62E-8	1.1E-8	2.21E-8	4.720000029E-1
2460951.509143518284	2.03E-8	6.0E-9	2.3E-8	7.200000286E-1
2460951.509178240784	1.74E-8	9.7E-9	2.28E-8	6.160000563E-1
2460951.509247685317	1.6E-8	8.6E-9	2.22E-8	4.23999995E-1
2460951.509282407351	1.91E-8	8.3E-9	2.12E-8	4.160000086E-1
2460951.509317129850	1.74E-8	6.5E-9	2.12E-8	5.040000081E-1
2460951.509351851884	1.86E-8	8.2E-9	1.96E-8	8.88000071E-1
2460951.509374999907	2.11E-8	1.44E-8	1.84E-8	4.800000191E-1
2460951.509409722406	1.96E-8	8.6E-9	1.88E-8	4.560000002E-1
2460951.509444444440	1.66E-8	8.2E-9	2.46E-8	5.920000076E-1
2460951.509479166474	1.48E-8	6.8E-9	2.39E-8	5.360000134E-1
2460951.509525462985	1.74E-8	9.6E-9	2.36E-8	4.240000248E-1
2460951.509560185019	1.84E-8	1.1E-8	2.07E-8	5.520000458E-1
2460951.509618055541	1.91E-8	6.0E-9	2.58E-8	4.560000002E-1
2460951.509652777575	2.01E-8	5.6E-9	2.06E-8	5.360000134E-1
2460951.509699074086	1.76E-8	6.3E-9	2.22E-8	6.720000505E-1
2460951.509722222108	1.78E-8	8.6E-9	2.25E-8	4.160000086E-1
2460951.509756944608	1.83E-8	8.5E-9	2.59E-8	1.1040000916E0
2460951.509803240653	1.65E-8	8.4E-9	2.17E-8	6.400000453E-1
2460951.509837963153	1.71E-8	6.4E-9	2.38E-8	4.880000353E-1
2460951.509907407220	1.75E-8	9.7E-9	2.35E-8	6.000000238E-1
2460951.510034722276	1.68E-8	6.9E-9	2.22E-8	8.88000071E-1
2460951.510104166809	2.0E-8	8.6E-9	2.08E-8	5.60000062E-1
2460951.510138888843	1.66E-8	6.5E-9	2.26E-8	7.600000501E-1
2460951.510173611343	1.74E-8	1.14E-8	2.04E-8	4.00000006E-1
2460951.510208333377	1.91E-8	8.7E-9	1.94E-8	7.280000448E-1
2460951.510277777910	1.56E-8	7.1E-9	2.14E-8	4.00000006E-1
2460951.510324073955	2.03E-8	6.7E-9	2.41E-8	4.160000086E-1
2460951.510393518489	1.7E-8	7.0E-9	2.18E-8	5.760000348E-1
2460951.510428240523	1.52E-8	8.8E-9	2.26E-8	5.60000062E-1
2460951.510474537034	1.8E-8	8.8E-9	2.31E-8	5.200000405E-1
2460951.510509259067	1.86E-8	8.6E-9	2.01E-8	4.720000327E-1
2460951.510543981567	1.5E-8	7.6E-9	2.54E-8	4.000000358E-1
2460951.510578703601	1.8E-8	7.8E-9	2.18E-8	4.640000165E-1
2460951.510613426100	1.68E-8	6.4E-9	2.2E-8	5.360000134E-1
2460951.510636574123	1.55E-8	7.2E-9	2.3E-8	5.60000062E-1
2460951.510706018656	1.8E-8	6.1E-9	2.16E-8	4.23999995E-1
2460951.510775463190	1.83E-8	8.8E-9	2.18E-8	4.720000029E-1
2460951.510810185224	1.37E-8	9.2E-9	2.34E-8	4.320000112E-1
2460951.510844907258	1.9E-8	5.9E-9	2.14E-8	6.880000234E-1
2460951.510891203769	1.88E-8	4.7E-9	2.23E-8	5.760000348E-1
2460951.510925925802	1.94E-8	5.6E-9	2.26E-8	4.000000358E-1
2460951.510960648302	1.44E-8	6.6E-9	2.46E-8	4.320000112E-1
2460951.510983796325	1.65E-8	7.5E-9	1.99E-8	5.040000081E-1
2460951.511018518358	1.69E-8	7.8E-9	2.26E-8	4.640000165E-1
2460951.511099536903	1.72E-8	8.8E-9	2.42E-8	4.160000086E-1
2460951.511134259403	1.69E-8	4.1E-9	2.22E-8	4.080000222E-1
2460951.511168981437	1.61E-8	9.4E-9	1.98E-8	4.00000006E-1
2460951.511203703471	1.39E-8	7.0E-9	2.36E-8	4.400000274E-1
2460951.511238425970	1.76E-8	8.6E-9	2.07E-8	1.1360000372E0
2460951.511273148004	1.77E-8	9.0E-9	2.25E-8	6.960000396E-1
2460951.511307870504	1.69E-8	7.6E-9	2.28E-8	4.320000112E-1
2460951.511342592537	1.8E-8	1.06E-8	2.15E-8	4.399999976E-1
2460951.511377315037	1.83E-8	7.0E-9	2.0E-8	4.400000274E-1
2460951.511423611082	1.81E-8	7.8E-9	1.9E-8	4.00000006E-1
2460951.511458333116	1.75E-8	7.7E-9	2.36E-8	5.040000081E-1
2460951.511562500149	1.98E-8	6.8E-9	2.22E-8	4.480000138E-1
2460951.511597222183	1.8E-8	7.4E-9	2.06E-8	5.040000081E-1
2460951.511631944217	1.73E-8	6.8E-9	2.38E-8	4.320000112E-1
2460951.511666666716	1.66E-8	6.7E-9	2.1E-8	5.120000243E-1
2460951.511701388750	1.57E-8	7.4E-9	2.26E-8	4.960000217E-1
2460951.511747685261	1.53E-8	7.0E-9	2.34E-8	4.320000112E-1
2460951.511782407295	1.71E-8	6.0E-9	2.28E-8	5.120000243E-1
2460951.511805555783	1.72E-8	6.1E-9	2.15E-8	4.960000217E-1
2460951.511840277817	1.76E-8	8.2E-9	2.37E-8	4.399999976E-1
2460951.511874999851	1.74E-8	9.1E-9	1.8E-8	4.960000217E-1
2460951.511909722351	1.84E-8	9.3E-9	2.19E-8	5.520000458E-1
2460951.511979166884	1.79E-8	6.6E-9	2.28E-8	4.640000165E-1
2460951.512013888918	1.52E-8	8.1E-9	2.42E-8	5.920000672E-1
2460951.512048610952	1.71E-8	6.4E-9	2.31E-8	4.5600003E-1
2460951.512094907463	1.81E-8	5.8E-9	2.06E-8	4.240000248E-1
2460951.512129629496	1.81E-8	6.5E-9	2.03E-8	1.2480000257E0
2460951.512164351996	1.72E-8	5.9E-9	2.04E-8	7.120000124E-1
2460951.512233796529	1.87E-8	6.0E-9	2.18E-8	4.720000327E-1
2460951.512268518563	1.83E-8	9.8E-9	2.18E-8	4.160000086E-1
2460951.512314814609	1.84E-8	7.2E-9	2.5E-8	4.560000002E-1
2460951.512349537108	2.07E-8	6.6E-9	2.35E-8	9.520000219E-1
2460951.512384259142	1.65E-8	6.4E-9	2.32E-8	1.0560001135E0
2460951.512465277687	1.93E-8	1.07E-8	2.08E-8	5.680000186E-1
2460951.512511574198	1.83E-8	8.3E-9	2.17E-8	7.200000286E-1
2460951.512534722220	1.73E-8	1.13E-8	2.09E-8	6.000000238E-1
2460951.512569444254	1.93E-8	6.3E-9	2.36E-8	5.200000405E-1
2460951.512604166754	1.71E-8	6.8E-9	2.48E-8	8.160000443E-1
2460951.512650462799	1.71E-8	5.8E-9	2.36E-8	4.000000358E-1
2460951.512719907332	1.72E-8	9.3E-9	2.26E-8	6.800000668E-1
2460951.512754629832	1.93E-8	8.6E-9	2.09E-8	5.920000672E-1
2460951.512789351866	1.69E-8	8.3E-9	2.18E-8	4.240000248E-1
2460951.512835648376	1.49E-8	7.0E-9	2.48E-8	4.00000006E-1
2460951.512870370410	1.84E-8	7.2E-9	2.18E-8	5.120000243E-1
2460951.512893518433	1.79E-8	7.1E-9	2.55E-8	5.920000076E-1
2460951.512939814944	1.85E-8	4.8E-9	2.23E-8	5.120000243E-1
2460951.513020833489	1.67E-8	7.5E-9	2.3E-8	8.640000224E-1
2460951.513055555522	1.83E-8	9.4E-9	2.08E-8	4.240000248E-1
2460951.513090277556	1.64E-8	8.2E-9	2.47E-8	4.480000138E-1
2460951.513125000056	1.65E-8	4.1E-9	2.07E-8	5.360000134E-1
2460951.513159722090	1.76E-8	6.8E-9	2.25E-8	9.280000329E-1
2460951.513194444589	1.75E-8	6.0E-9	2.02E-8	5.60000062E-1
2460951.513229166623	1.61E-8	8.1E-9	2.2E-8	5.520000458E-1
2460951.513275463134	1.8E-8	9.0E-9	2.33E-8	4.960000217E-1
2460951.513310185168	1.86E-8	8.5E-9	2.32E-8	4.560000002E-1
2460951.513344907202	1.82E-8	8.0E-9	2.42E-8	4.000000358E-1
2460951.513379629701	1.95E-8	7.1E-9	1.83E-8	1.0080000162E0
2460951.513414351735	1.77E-8	7.4E-9	2.09E-8	8.240000606E-1
2460951.513472222257	1.94E-8	7.2E-9	2.04E-8	5.760000348E-1
2460951.513495370280	1.67E-8	7.8E-9	2.38E-8	4.160000086E-1
2460951.513530092780	1.88E-8	6.0E-9	2.21E-8	1.0960000753E0
2460951.513564814813	1.53E-8	8.0E-9	2.22E-8	4.160000086E-1
2460951.513599536847	1.74E-8	6.8E-9	1.84E-8	4.800000191E-1
2460951.513634259347	1.87E-8	5.8E-9	2.2E-8	5.60000062E-1
2460951.513668981381	1.95E-8	8.2E-9	2.58E-8	5.040000081E-1
2460951.513715277892	1.72E-8	6.4E-9	1.97E-8	6.800000072E-1
2460951.513749999925	1.88E-8	7.0E-9	2.48E-8	6.320000291E-1
2460951.513784722425	1.81E-8	8.4E-9	2.49E-8	4.800000191E-1
2460951.513819444459	1.82E-8	6.4E-9	2.16E-8	4.480000138E-1
